Timestamp,Channel_1
318193.6053222628,8
318196.6933385637,9
318199.7023047646,3
318200.36751566484,6
318202.3750921654,8
318205.41331956635,9
318208.4173121672,7
318208.98301636736,2
318210.98839426803,8
318213.9102732689,9
318216.9138864698,3
318217.44889756996,0
318219.4536782705,8
318222.44739507145,9
318225.4530903723,1
318226.1289123726,0
318228.1412009731,8
318231.04183667403,9
318234.0483212749,1
318234.6257387751,2
318236.6352658757,8
318239.65004937665,9
318242.6588049775,3
318243.2023109777,6
318245.21053217835,8
318248.17401627917,9
318251.1799234801,7
318251.76384138025,0
318253.76786538085,8
318256.8415532818,9
318259.8463788827,1
318260.5475753829,2
318262.5560794835,8
318265.5329197844,9
318268.5372360853,3
318269.1686249855,2
318271.1739952861,8
318274.159456387,9
318277.16716408794,3
318277.7333497881,4
318279.73741938866,8
318282.7494927896,9
318285.7551443905,5
318286.4966841907,4
318288.5010394913,8
318291.34046359215,9
318294.3491184931,5
318295.03385779326,6
318297.04138099385,8
318300.0958278948,9
318303.1007084957,7
318303.6896849959,4
318305.6947679965,8
318308.6605790974,9
318311.66400299827,5
318312.41747019853,6
318314.4217165991,8
318317.2542273,9
318320.25751820084,7
318320.834726701,4
318322.8399794017,8
318325.82348240254,9
318328.8273130035,5
318329.5960379037,0
318331.6033793043,8
318334.57639490516,9
318337.5846489061,1
318358.7421198124,6
318360.7485402131,8
318363.7319457139,9
318366.73582181486,7
318367.239532615,2
318369.24479211564,8
318372.2541246165,9
318375.26307851746,3
318375.85215081763,2
318377.8571453182,8
318380.91191231913,9
318383.91731282,3
318384.48848912015,4
318386.4935840208,8
318389.56076052174,9
318392.56545072264,5
318393.30617492285,4
318395.31103942345,8
318398.1588744243,9
318401.16520952526,5
318401.8347203254,0
318403.844261226,8
318406.94709132693,9
318409.95368762786,1
318410.7681018281,0
318412.7774452287,8
318415.64341252955,9
318418.6503299305,1
318419.4559429307,2
318421.46228143136,8
318424.3709969322,9
318427.3771273331,3
318427.93730193324,6
318429.94664413383,8
318432.82527123473,9
318435.8318623357,7
318436.4963959358,6
318438.50481253647,8
318441.3244687373,9
318444.32839253824,7
318445.0361061384,4
318447.04324923904,8
318450.11694033997,9
318453.12198094086,5
318453.655002341,6
318455.6617114416,8
318458.6105700425,9
318461.6209764434,7
318462.22293984354,2
318464.2313879442,8
318467.2071764451,9
318470.212587646,3
318470.9430862462,6
318472.9522775468,8
318475.9002565477,9
318478.9041016486,7
318479.5037003488,4
318481.5099216494,8
318484.5243836503,9
318487.5275883512,5
318488.07483315136,0
318490.08068755193,8
318493.1451012529,9
318496.15285585384,1
318496.732259954,0
318498.73972725455,8
318501.60662795545,9
318504.6123590563,1
318505.1948157565,0
318507.20028845716,8
318510.0621415579,9
318513.0667691589,1
318513.8896829591,4
318515.89901595976,8
318518.80056756065,9
318521.8062801615,5
318522.43482526165,2
318524.44222356234,8
318527.2835774631,9
318530.29031776404,3
